directory_name,model,lr,benchmark,task,seed,accuracy,mcc,f1,precision,recall,runtime,epoch
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed223/results/gue_DNABERT2_bpe_3e-5_mouse_1_seed223,DNABERT2,3e-5,GUE,mouse_1,223,0.9101556708673091,0.8213541789568458,0.9100978881173588,0.9112029191464621,0.9101519322201039,1.8063,0.15
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed222/results/gue_DNABERT2_bpe_3e-5_tf_4_seed222,DNABERT2,3e-5,GUE,tf_4,222,0.894,0.7900504716868795,0.8938624457296657,0.8960531394750386,0.894,0.2492,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed222/results/gue_DNABERT2_bpe_3e-5_mouse_4_seed222,DNABERT2,3e-5,GUE,mouse_4,222,0.4997344662772172,0.0,0.33321529745042494,0.2498672331386086,0.5,0.4718,0.53
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_tata_seed17/results/gue_DNABERT2_bpe_3e-5_prom_300_tata_seed17,DNABERT2,3e-5,GUE,prom_300_tata,17,0.8368678629690048,0.6734846063705124,0.8367423031852562,0.8367423031852562,0.8367423031852562,0.5262,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_tata_seed84/results/gue_DNABERT2_bpe_3e-5_prom_300_tata_seed84,DNABERT2,3e-5,GUE,prom_300_tata,84,0.8075040783034257,0.6152003518965878,0.8074625753284641,0.8074822762981414,0.8077181208053692,0.6947,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_notata_seed222/results/gue_DNABERT2_bpe_3e-5_prom_300_notata_seed222,DNABERT2,3e-5,GUE,prom_300_notata,222,0.9655172413793104,0.9310372187608277,0.9655108932061487,0.9655543196143863,0.9654829018855864,4.6075,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed3/results/gue_DNABERT2_bpe_3e-5_tf_2_seed3,DNABERT2,3e-5,GUE,tf_2,3,0.811,0.6350920921904362,0.8090521408892107,0.8242298758543614,0.8109999999999999,0.2818,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed3/results/gue_DNABERT2_bpe_3e-5_mouse_2_seed3,DNABERT2,3e-5,GUE,mouse_2,3,0.899390243902439,0.8005833540713044,0.8992769604421987,0.9011951447245565,0.899390243902439,0.1115,3.05
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_all_seed54/results/gue_DNABERT2_bpe_3e-5_prom_core_all_seed54,DNABERT2,3e-5,GUE,prom_core_all,54,0.7927364864864865,0.5864072052197832,0.7925250178666914,0.7937522389861927,0.7926559909130089,4.5823,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_notata_seed17/results/gue_DNABERT2_bpe_3e-5_prom_core_notata_seed17,DNABERT2,3e-5,GUE,prom_core_notata,17,0.8224985867721877,0.645144216671405,0.8224869329318524,0.8226253106037896,0.8225189148408927,4.1976,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_reconstructed_seed17/results/gue_DNABERT2_bpe_3e-5_reconstructed_seed17,DNABERT2,3e-5,GUE,reconstructed,17,0.9094695309074967,0.8477783750922472,0.9044755656102467,0.896663801520197,0.913163785159321,4.0517,5.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_notata_seed223/results/gue_DNABERT2_bpe_3e-5_prom_core_notata_seed223,DNABERT2,3e-5,GUE,prom_core_notata,223,0.8183531185227059,0.6406767401576119,0.8178424234068741,0.8222213600269005,0.8184663839050866,5.1914,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_tata_seed223/results/gue_DNABERT2_bpe_3e-5_prom_core_tata_seed223,DNABERT2,3e-5,GUE,prom_core_tata,223,0.8743882544861338,0.7510287282458632,0.8742798545725738,0.8763446034088236,0.874685956395844,0.6048,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_0_seed18/results/gue_DNABERT2_bpe_3e-5_mouse_0_seed18,DNABERT2,3e-5,GUE,mouse_0,18,0.7703703703703704,0.5407473342555223,0.7703689703945764,0.770376963925351,0.7703703703703704,0.2062,1.23
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_all_seed223/results/gue_DNABERT2_bpe_3e-5_prom_core_all_seed223,DNABERT2,3e-5,GUE,prom_core_all,223,0.808445945945946,0.616931438435009,0.8084288038922401,0.8085051584054244,0.8084262850714761,5.6659,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_0_seed222/results/gue_DNABERT2_bpe_3e-5_mouse_0_seed222,DNABERT2,3e-5,GUE,mouse_0,222,0.762962962962963,0.5267035905248654,0.762787973447872,0.7637412025119084,0.762962962962963,0.2091,1.23
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_0_seed222/results/gue_DNABERT2_bpe_3e-5_tf_0_seed222,DNABERT2,3e-5,GUE,tf_0,222,0.809,0.6356477446801286,0.806349113007966,0.8268997211302055,0.8089999999999999,0.2582,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_notata_seed18/results/gue_DNABERT2_bpe_3e-5_prom_300_notata_seed18,DNABERT2,3e-5,GUE,prom_300_notata,18,0.9689089881288864,0.9379112931984,0.9689085465555507,0.9689310026004865,0.9689802918930436,4.5664,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_all_seed18/results/gue_DNABERT2_bpe_3e-5_prom_core_all_seed18,DNABERT2,3e-5,GUE,prom_core_all,18,0.8037162162162163,0.6076442210270698,0.8036601933988652,0.8039678579197216,0.803676432990745,4.5156,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_all_seed18/results/gue_DNABERT2_bpe_3e-5_prom_300_all_seed18,DNABERT2,3e-5,GUE,prom_300_all,18,0.9209459459459459,0.8419403576176594,0.9209322199034964,0.9210414060548265,0.9208989636122906,5.141,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_all_seed54/results/gue_DNABERT2_bpe_3e-5_prom_300_all_seed54,DNABERT2,3e-5,GUE,prom_300_all,54,0.9219594594594595,0.8441360019058163,0.9219315167591029,0.9222623754503528,0.9218737159293248,5.6741,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_covid_seed33/results/gue_DNABERT2_bpe_3e-5_covid_seed33,DNABERT2,3e-5,GUE,covid,33,0.12369109947643979,0.0,0.024461269656377405,0.0137434554973822,0.1111111111111111,14.5957,8.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed3/results/gue_DNABERT2_bpe_3e-5_tf_4_seed3,DNABERT2,3e-5,GUE,tf_4,3,0.874,0.7554399476357363,0.8733795598432319,0.8814769481844145,0.874,0.3083,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed3/results/gue_DNABERT2_bpe_3e-5_mouse_4_seed3,DNABERT2,3e-5,GUE,mouse_4,3,0.4997344662772172,0.0,0.33321529745042494,0.2498672331386086,0.5,0.5076,0.53
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed223/results/gue_DNABERT2_bpe_3e-5_tf_2_seed223,DNABERT2,3e-5,GUE,tf_2,223,0.816,0.6420218542156767,0.8145639834881321,0.8261013143121326,0.8160000000000001,0.2702,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed223/results/gue_DNABERT2_bpe_3e-5_mouse_2_seed223,DNABERT2,3e-5,GUE,mouse_2,223,0.9176829268292683,0.8357543634106596,0.9176637938247845,0.9180715269249377,0.9176829268292683,0.1053,3.05
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_all_seed84/results/gue_DNABERT2_bpe_3e-5_prom_core_all_seed84,DNABERT2,3e-5,GUE,prom_core_all,84,0.8175675675675675,0.6351771474637009,0.8175512418021336,0.817629179331307,0.817547973323399,6.275,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_tata_seed54/results/gue_DNABERT2_bpe_3e-5_prom_core_tata_seed54,DNABERT2,3e-5,GUE,prom_core_tata,54,0.8792822185970636,0.7653375427591225,0.8788873937374513,0.8855526497795453,0.8798064639754726,0.5209,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_covid_seed3/results/gue_DNABERT2_bpe_3e-5_covid_seed3,DNABERT2,3e-5,GUE,covid,3,0.12369109947643979,0.0,0.024461269656377405,0.0137434554973822,0.1111111111111111,15.5292,8.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_tata_seed84/results/gue_DNABERT2_bpe_3e-5_prom_core_tata_seed84,DNABERT2,3e-5,GUE,prom_core_tata,84,0.8482871125611745,0.7093519606849362,0.8471874874351655,0.860407597942224,0.8490355135411344,0.6969,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed3/results/gue_DNABERT2_bpe_3e-5_tf_1_seed3,DNABERT2,3e-5,GUE,tf_1,3,0.849,0.6997164103902022,0.8488147981277063,0.8507185207516832,0.849,0.2763,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed3/results/gue_DNABERT2_bpe_3e-5_mouse_1_seed3,DNABERT2,3e-5,GUE,mouse_1,3,0.9037805782060786,0.8078545294611967,0.9037626739906761,0.904076008342525,0.9037785758723855,1.9475,0.15
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_notata_seed223/results/gue_DNABERT2_bpe_3e-5_prom_300_notata_seed223,DNABERT2,3e-5,GUE,prom_300_notata,223,0.9692858488788393,0.9386199168874826,0.9692848673643181,0.9692829630765822,0.9693369553638009,5.1237,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed222/results/gue_DNABERT2_bpe_3e-5_tf_2_seed222,DNABERT2,3e-5,GUE,tf_2,222,0.838,0.6760216330383914,0.8379974079585273,0.8380216333845366,0.838,0.2555,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed222/results/gue_DNABERT2_bpe_3e-5_mouse_2_seed222,DNABERT2,3e-5,GUE,mouse_2,222,0.8963414634146342,0.794160656248172,0.896245022514979,0.8978205702343633,0.8963414634146342,0.1018,3.05
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_covid_seed223/results/gue_DNABERT2_bpe_3e-5_covid_seed223,DNABERT2,3e-5,GUE,covid,223,0.12140052356020943,0.0,0.02405732256914049,0.013488947062245493,0.1111111111111111,15.3484,8.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_covid_seed222/results/gue_DNABERT2_bpe_3e-5_covid_seed222,DNABERT2,3e-5,GUE,covid,222,0.12369109947643979,0.0,0.024461269656377405,0.0137434554973822,0.1111111111111111,14.6126,8.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_tata_seed18/results/gue_DNABERT2_bpe_3e-5_prom_core_tata_seed18,DNABERT2,3e-5,GUE,prom_core_tata,18,0.8450244698205547,0.6901613864758985,0.8450244698205546,0.8450806932379493,0.8450806932379493,0.4948,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_reconstructed_seed18/results/gue_DNABERT2_bpe_3e-5_reconstructed_seed18,DNABERT2,3e-5,GUE,reconstructed,18,0.9077159140727751,0.8418447218787907,0.9010685943112849,0.9040338091843984,0.8982838877793909,4.2106,5.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed17/results/gue_DNABERT2_bpe_3e-5_mouse_2_seed17,DNABERT2,3e-5,GUE,mouse_2,17,0.9024390243902439,0.8051175601825399,0.90242451286628,0.9026785714285714,0.9024390243902439,0.1,3.05
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_2_seed17/results/gue_DNABERT2_bpe_3e-5_tf_2_seed17,DNABERT2,3e-5,GUE,tf_2,17,0.821,0.6420629252501628,0.8209912285701999,0.8210629283339534,0.821,0.2588,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_reconstructed_seed84/results/gue_DNABERT2_bpe_3e-5_reconstructed_seed84,DNABERT2,3e-5,GUE,reconstructed,84,0.9074967119684348,0.8403332527742868,0.8996613600622444,0.9128062969678367,0.8881808076023012,4.7639,5.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_0_seed3/results/gue_DNABERT2_bpe_3e-5_tf_0_seed3,DNABERT2,3e-5,GUE,tf_0,3,0.812,0.646224556641248,0.8087681822805411,0.8346203346203347,0.812,0.3034,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_0_seed3/results/gue_DNABERT2_bpe_3e-5_mouse_0_seed3,DNABERT2,3e-5,GUE,mouse_0,3,0.7975308641975308,0.5989375577216056,0.7968757645446984,0.8014193157884986,0.7975308641975308,0.2413,1.23
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_reconstructed_seed3/results/gue_DNABERT2_bpe_3e-5_reconstructed_seed3,DNABERT2,3e-5,GUE,reconstructed,3,0.9083735203857957,0.8424304882730744,0.9012174094225208,0.907718025227374,0.8952749069416807,5.2621,5.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_covid_seed54/results/gue_DNABERT2_bpe_3e-5_covid_seed54,DNABERT2,3e-5,GUE,covid,54,0.12172774869109948,0.0,0.024115130299494362,0.013525305410122165,0.1111111111111111,14.8531,8.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_reconstructed_seed223/results/gue_DNABERT2_bpe_3e-5_reconstructed_seed223,DNABERT2,3e-5,GUE,reconstructed,223,0.9070583077597545,0.8411645420421526,0.900338678721909,0.9025709668675018,0.8988615210678458,4.7242,5.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_0_seed17/results/gue_DNABERT2_bpe_3e-5_mouse_0_seed17,DNABERT2,3e-5,GUE,mouse_0,17,0.8222222222222222,0.6448298260161023,0.8221690979167682,0.8226077190241043,0.8222222222222222,0.2074,1.23
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_0_seed17/results/gue_DNABERT2_bpe_3e-5_tf_0_seed17,DNABERT2,3e-5,GUE,tf_0,17,0.843,0.6918712234573993,0.8423338605608697,0.8488963482860339,0.843,0.2624,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_covid_seed19/results/gue_DNABERT2_bpe_3e-5_covid_seed19,DNABERT2,3e-5,GUE,covid,19,0.12172774869109948,0.0,0.024115130299494362,0.013525305410122165,0.1111111111111111,14.6259,8.0
