model,task,task_category,task_benchmark,replicate_number,accuracy,f1,mcc,precision,recall,eval_loss,runtime,samples_per_second,steps_per_second,sequence_length,epoch,lr
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,3,0.8562134027325959,0.8559314090370248,0.7128589962324057,0.8571914615641096,0.8556691600943167,0.3399739265441894,0.7453,2062.277,65.746,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,3,0.763825634352635,0.7317738112488573,0.6215995440391694,0.7400783370182368,0.7276971195150983,0.5883679986000061,0.7419,2071.832,66.051,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,3,0.9783333333333334,0.9783137213575605,0.9675351900718224,0.9784745004534112,0.978237296927696,0.087331473827362,8.4025,357.036,22.374,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,3,0.9711451758340848,0.9711391684456644,0.9423794550368508,0.9712878415039392,0.9710916339585484,0.1141091287136077,6.2019,357.634,22.413,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,3,0.975876194811106,0.975875695012896,0.9517550293896314,0.975883430295195,0.9758715991679718,0.0934444665908813,6.1483,357.336,22.445,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,4,0.8627195836044242,0.8625622704917859,0.7254473222344746,0.8630596001764925,0.8623880329024041,0.334821879863739,0.7469,2057.711,65.6,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,4,0.7774886141834743,0.7509356226870546,0.6460086686221349,0.7554766538737733,0.7502701019635953,0.56404048204422,0.7453,2062.391,65.75,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,4,0.9786666666666668,0.9786403628254786,0.968008674586892,0.978658635127032,0.9786454536454932,0.0824057161808013,40.848,73.443,4.602,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,4,0.9720468890892696,0.9720467981757526,0.9441505041880194,0.9720660397685924,0.9720844645992046,0.1013649776577949,6.2031,357.566,22.408,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,4,0.9749658625398272,0.97496553060085,0.9499314651916884,0.9749673070452696,0.974964158151638,0.0961001440882682,6.1512,357.163,22.434,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,5,0.852309694209499,0.8520842863374921,0.7047771644770187,0.8529090470462716,0.8518688850042009,0.3528780043125152,0.7359,2088.674,66.588,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,5,0.7547169811320755,0.7245595747121989,0.6095189285740502,0.7339726440167338,0.7227878298898389,0.598917543888092,0.7401,2076.828,66.21,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,5,0.9786666666666668,0.978652766354004,0.9680497595142744,0.978843466007922,0.9785747757430632,0.0929471254348754,8.6433,347.091,21.751,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,5,0.9733994589720468,0.973398545134474,0.9468006520755966,0.9733928199724196,0.9734078322221924,0.1075646132230758,6.8618,323.239,20.257,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,5,0.9749658625398272,0.97496553060085,0.9499314651916884,0.9749673070452696,0.974964158151638,0.0975985378026962,6.1488,357.308,22.444,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,6,0.8484059856864021,0.8482186337256983,0.6968180879657506,0.8487761199096943,0.848042354391956,0.3649768829345703,0.7621,2016.75,64.295,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,6,0.7573194534808068,0.7244572509716253,0.6098564479827455,0.7303161452117252,0.7201939214276761,0.5941278338432312,0.7513,2045.858,65.223,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,6,0.976,0.9759762489234196,0.9640532971561976,0.9761440829258934,0.9759259781465608,0.1011661812663078,8.4531,354.898,22.24,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,6,0.9715960324616773,0.9715958881178756,0.9433659867862302,0.9717031304890902,0.9716628571567963,0.1027600392699241,6.2375,355.59,22.284,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,6,0.9763313609467456,0.9763313560431656,0.9526772758303502,0.9763374536751592,0.9763398221581352,0.0847985446453094,6.1926,354.779,22.285,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,7,0.8581652569941445,0.8581435795306367,0.7163918123715793,0.8581267567476041,0.8582650689757976,0.3395690023899078,0.741,2074.148,66.124,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,7,0.7729342875731945,0.7419361503541815,0.6353048493162105,0.7485050441919654,0.7375422265653538,0.5751847624778748,0.7469,2057.755,65.602,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,7,0.9816666666666668,0.981654517393348,0.972501093851669,0.9816538851871796,0.9816619177037732,0.0871771946549415,8.4479,355.117,22.254,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,7,0.9675383228133454,0.9675380852641576,0.9352665715713518,0.9676583840577058,0.9676081888606192,0.1184519603848457,6.2476,355.014,22.248,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,7,0.9726900318616296,0.972689075630252,0.945539390185298,0.9728206360916092,0.972718759581997,0.104840338230133,6.1989,354.416,22.262,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,8,0.8536109303838647,0.8535908503013279,0.7073038689563839,0.8535818661465053,0.8537220166951243,0.3465311825275421,0.7543,2037.599,64.959,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,8,0.7774886141834743,0.7510113013052098,0.6454748361955166,0.7558603992197437,0.7497807712090351,0.5810776352882385,0.7626,2015.417,64.252,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,8,0.9776666666666668,0.97766716092943,0.9665413646876616,0.9778531773124252,0.9775782953385628,0.0968991667032241,8.5132,352.394,22.083,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,8,0.9706943192064924,0.9706943132494756,0.9414774222025424,0.9707358403424208,0.9707415818776288,0.1148045435547828,6.2491,354.932,22.243,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,8,0.9736003641329084,0.973600227397787,0.9472585486825296,0.973641049866156,0.9736174991091332,0.0955065563321113,6.2489,351.58,22.084,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,9,0.8588158750813273,0.8587201882098587,0.7174993386590488,0.8588591031742803,0.8586402688565467,0.342730164527893,0.7676,2002.321,63.835,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,9,0.7690305790500976,0.7373698230385397,0.6311062515245927,0.7416878170654716,0.7355719812444894,0.5856354832649231,0.7801,1970.353,62.815,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,9,0.9816666666666668,0.9816497412217594,0.9725065996710596,0.9816678884316948,0.9816498906573706,0.0856247767806053,8.4574,354.719,22.229,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,9,0.9738503155996392,0.9738499754038044,0.9477252901734674,0.9738503155996392,0.9738749748946388,0.1035519912838935,6.3037,351.857,22.051,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,9,0.9763313609467456,0.9763299437275718,0.9527003475473128,0.976383731724298,0.9763166181869412,0.0964927375316619,6.1894,354.962,22.296,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,10,0.8568640208197787,0.8567897595402907,0.7135911360363383,0.8568378819813898,0.8567532590725533,0.345629334449768,0.7684,2000.167,63.766,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,10,0.7657774886141835,0.7347144747844827,0.6253045564158436,0.7377215319075785,0.7326687988115639,0.5729658603668213,0.7732,1987.748,63.37,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,10,0.977,0.976988759050918,0.965518793239874,0.9769867124758445,0.9770329065270916,0.0916895940899849,8.9112,336.654,21.097,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,10,0.9743011722272318,0.9743010416304588,0.948650012494807,0.9743144001977442,0.9743356125342226,0.1035554558038711,6.6941,331.338,20.765,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,10,0.9736003641329084,0.9736003586635308,0.9472265361546248,0.9736148380434944,0.9736116981163347,0.0942767709493637,6.5346,336.209,21.118,400.0,5.0,3e-05
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,1,0.863059452237809,0.8629887764956004,0.7263175917108817,0.8633904442569741,0.8629272951214723,0.3244353234767914,5.9259,252.618,15.862,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,1,0.7173978819969743,0.7109665789511137,0.4219380156970099,0.7110859034980622,0.7108521769336963,0.5611767172813416,13.0714,252.843,15.836,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,1,0.7439793577981652,0.7365170038679278,0.4776802882797694,0.7434286030624019,0.7343381744590538,0.5377764701843262,13.7839,253.049,15.816,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,1,0.7149621212121212,0.7109114870155915,0.4226384828841423,0.7125245735999912,0.710120745320033,0.5715954899787903,12.5141,253.154,15.822,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,1,0.6695992179863147,0.6481949672338416,0.3048561891295077,0.6587553328039664,0.6463530301771447,0.6103248000144958,12.1182,253.256,15.844,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,1,0.6489130434782608,0.647205759440772,0.2945505325317392,0.6474880580833897,0.6470627814586811,0.6324552893638611,14.5512,252.9,15.806,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,1,0.794382801664355,0.7924683101381711,0.5872408007745055,0.7957830484571143,0.7914735647403764,0.4553256034851074,11.4452,251.984,15.815,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,1,0.74091399784095,0.7408930286332317,0.4954894526641688,0.7473144625532959,0.7481757386595724,0.5223900675773621,10.9758,253.194,15.853,500.0,3.0,3e-05
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,1,0.893223819301848,0.8912053920913448,0.7832969448872066,0.8940379403794038,0.889273494373958,0.2868987619876861,5.7916,252.262,15.885,500.0,3.0,3e-05
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,1,0.6791788856304986,0.6772147649148454,0.3546783491472016,0.6777151472115098,0.6769639973401729,0.6003809571266174,13.4768,253.027,15.879,500.0,3.0,3e-05
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,1,0.9545608108108108,0.954560778397195,0.9091882900084328,0.9545896049421466,0.9545986851116286,0.1290792524814605,12.6042,469.686,29.355,300.0,4.0,3e-05
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,1,0.9634445072545694,0.963429641101418,0.9270304716170512,0.9636914526148204,0.9633390859699584,0.1134433224797248,11.2877,470.159,29.413,300.0,4.0,3e-05
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,1,0.8156606851549756,0.8156116155445352,0.6314360696296586,0.8156003832233341,0.8158357302652605,0.4416767656803131,1.3181,465.062,29.588,300.0,10.0,3e-05
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,1,0.83,0.8297541650142807,0.661914377084838,0.8319171534784917,0.8300000000000001,0.3598921000957489,0.5172,1933.606,30.938,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,1,0.851,0.8501113099567335,0.7104753689079207,0.8595265312142778,0.851,0.3348419666290283,0.5184,1928.895,30.862,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,1,0.802,0.8010250226107929,0.6100076582513165,0.8080375356997145,0.802,0.4418926537036896,0.5184,1929.083,30.865,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_3,Transcription Factor (human),GUE,1,0.774,0.773339056689306,0.5512241686032888,0.77723365333247,0.774,0.4668157398700714,0.5176,1932.041,30.913,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_4,Transcription Factor (human),GUE,1,0.85,0.8495613208114864,0.704118463544347,0.854130579074323,0.8500000000000001,0.3252369463443756,0.5155,1939.912,31.039,100.0,3.0,3e-05
DNABERT-1 (6-mer),prom_core_all,Regulatory (human),GUE,1,0.8412162162162162,0.8409548198280593,0.6850701039748011,0.8437424138768124,0.841331930839524,0.3740661740303039,2.7817,2128.165,66.505,70.0,4.0,3e-05
DNABERT-1 (6-mer),prom_core_tata,Regulatory (human),GUE,1,0.866231647634584,0.8660744735271548,0.7352774578655432,0.8687118535175071,0.8665687276443537,0.3187392652034759,0.4076,1504.062,95.691,70.0,10.0,3e-05
DNABERT-1 (6-mer),prom_core_notata,Regulatory (human),GUE,1,0.8460523836442434,0.8459909424259491,0.6928052562226242,0.8467081067007368,0.8460974186738535,0.3617176711559295,2.4738,2145.323,67.104,70.0,4.0,3e-05
DNABERT-1 (6-mer),mouse_0,Transcription Factor (mouse),GUE,1,0.7111111111111111,0.7109683794466404,0.4226398506351226,0.7115289460663038,0.711111111111111,0.5665216445922852,0.4196,1930.386,30.981,100.0,4.93,3e-05
DNABERT-1 (6-mer),mouse_1,Transcription Factor (mouse),GUE,1,0.900815418828762,0.9007726700740016,0.8023335889679415,0.9015153757049488,0.9008185158886828,0.2323299795389175,3.4316,1965.572,30.89,100.0,0.59,3e-05
DNABERT-1 (6-mer),mouse_2,Transcription Factor (mouse),GUE,1,0.8536585365853658,0.8533914403844005,0.7099084711800413,0.8562546816479402,0.853658536585366,0.3415279984474182,0.1783,1839.523,33.65,100.0,12.2,3e-05
DNABERT-1 (6-mer),mouse_3,Transcription Factor (mouse),GUE,1,0.8200836820083682,0.8200836820083681,0.6401960784313725,0.8200980392156862,0.8200980392156862,0.4476361870765686,0.1309,1825.497,30.552,100.0,16.67,3e-05
DNABERT-1 (6-mer),mouse_4,Transcription Factor (mouse),GUE,1,0.7015400955921403,0.7014248149151319,0.4034215282155716,0.7018709266273153,0.7015507286597129,0.5629211068153381,0.9706,1940.067,30.909,100.0,2.12,3e-05
DNABERT-1 (6-mer),reconstructed,Splice Sites (human),GUE,1,0.9114423498465584,0.9062731959382626,0.8497534923632241,0.9026872657929592,0.9103346231222256,0.257314383983612,13.4715,338.64,21.23,400.0,5.0,3e-05
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,2,0.8710754843019372,0.8709536364623053,0.7427556343940944,0.871882002964066,0.8708743149890219,0.3233957290649414,5.9248,252.667,15.866,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,2,0.7155824508320726,0.7128738822534304,0.4294090220822431,0.7125947334617855,0.7168352259285545,0.5578963756561279,13.073,252.81,15.834,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,2,0.7376720183486238,0.7323687094986415,0.4658610627349031,0.7347613262162063,0.7311140140397531,0.5341394543647766,13.8109,252.554,15.785,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,2,0.7209595959595959,0.7174313392879845,0.4352882105950968,0.7184855558797782,0.7168058953830116,0.5665133595466614,14.9652,211.691,13.231,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,2,0.6666666666666666,0.6392541920672592,0.2948193799796187,0.6571599697795097,0.6382643222277126,0.6076772212982178,12.1361,252.882,15.821,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,2,0.6358695652173914,0.6256510416666667,0.2660956714280659,0.6379852827855904,0.6282870624376244,0.6480225920677185,14.5707,252.562,15.785,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,2,0.7985436893203883,0.7963250841299622,0.5961103427297626,0.8009764918625678,0.7951622056180838,0.4568583965301513,13.6396,211.443,13.27,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,2,0.7466714645555955,0.7462953510857702,0.4991792164386641,0.7483127966212392,0.7508729851168344,0.5196665525436401,10.9832,253.024,15.842,500.0,3.0,3e-05
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,2,0.893223819301848,0.8917053756737647,0.7834416390813148,0.8921074160039573,0.891334604240323,0.2929050922393799,5.7856,252.525,15.902,500.0,3.0,3e-05
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,2,0.6788856304985337,0.6744733943821585,0.3526678327262545,0.6785137730045712,0.6741806782559134,0.6004924178123474,13.4853,252.868,15.869,500.0,3.0,3e-05
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,2,0.954054054054054,0.954052874120786,0.9081111930428596,0.9540478228613822,0.9540633703145688,0.1253282874822616,12.5308,472.436,29.527,300.0,4.0,3e-05
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,2,0.9609949123798756,0.9609922310003444,0.9219959965201246,0.9609792720224996,0.961016725258336,0.1156170293688774,11.2775,470.584,29.439,300.0,4.0,3e-05
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,2,0.8776508972267537,0.8775205198085085,0.7550831587907414,0.8776622961304765,0.8774209012464046,0.3572216033935547,1.306,469.359,29.861,300.0,10.0,3e-05
DNABERT-1 (6-mer),tf_0,Transcription Factor (human),GUE,2,0.828,0.8275689223057644,0.6593048068100431,0.8313131313131313,0.8280000000000001,0.3602959513664245,0.5143,1944.518,31.112,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_1,Transcription Factor (human),GUE,2,0.853,0.8518788711759306,0.7169363969777235,0.8640211029117564,0.853,0.3267798721790313,0.5143,1944.425,31.111,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_2,Transcription Factor (human),GUE,2,0.803,0.8016334528567302,0.6145260869456279,0.8115860656243444,0.8029999999999999,0.445590078830719,0.514,1945.629,31.13,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_3,Transcription Factor (human),GUE,2,0.764,0.7624023936952066,0.5352470639105373,0.7712967986977753,0.764,0.4819868505001068,0.5133,1948.288,31.173,100.0,3.0,3e-05
DNABERT-1 (6-mer),tf_4,Transcription Factor (human),GUE,2,0.838,0.8367929204395712,0.6862268737236785,0.8483042324116667,0.8380000000000001,0.3641950786113739,0.514,1945.537,31.129,100.0,3.0,3e-05
DNABERT-1 (6-mer),prom_core_all,Regulatory (human),GUE,2,0.8439189189189189,0.8438104618848279,0.6890485142467646,0.845053020686219,0.84399630384444,0.3683397471904754,2.7523,2150.893,67.215,70.0,4.0,3e-05
DNABERT-1 (6-mer),prom_core_tata,Regulatory (human),GUE,2,0.8792822185970636,0.8792561913076808,0.759430465145061,0.8799701524357745,0.8794604837336059,0.3058218359947204,0.3891,1575.232,100.219,70.0,10.0,3e-05
DNABERT-1 (6-mer),prom_core_notata,Regulatory (human),GUE,2,0.8498209911437724,0.8497164061275022,0.7008114926859247,0.8509329630712268,0.8498793216676191,0.3592796623706817,2.4622,2155.353,67.418,70.0,4.0,3e-05
DNABERT-1 (6-mer),mouse_0,Transcription Factor (mouse),GUE,2,0.717283950617284,0.7172111090953165,0.4347919487158184,0.7175080558539205,0.7172839506172839,0.5497382879257202,0.4223,1917.986,30.782,100.0,4.93,3e-05
DNABERT-1 (6-mer),mouse_1,Transcription Factor (mouse),GUE,2,0.9002223869532987,0.9002021707473644,0.8007769096455695,0.9005524599355674,0.9002245168614484,0.233596533536911,3.4246,1969.574,30.953,100.0,0.59,3e-05
DNABERT-1 (6-mer),mouse_2,Transcription Factor (mouse),GUE,2,0.8292682926829268,0.8290394638868205,0.6603065838601,0.8310406698564593,0.8292682926829269,0.3091185986995697,0.1831,1791.166,32.765,100.0,12.2,3e-05
DNABERT-1 (6-mer),mouse_3,Transcription Factor (mouse),GUE,2,0.8368200836820083,0.836637047163363,0.6747136232077227,0.8380202474690663,0.8366946778711485,0.4177936315536499,0.1287,1857.558,31.089,100.0,16.67,3e-05
DNABERT-1 (6-mer),mouse_4,Transcription Factor (mouse),GUE,2,0.7084439723844929,0.7083699481125675,0.417076147323379,0.7086404863858926,0.7084357112075287,0.578060507774353,0.9628,1955.719,31.159,100.0,2.12,3e-05
DNABERT-1 (6-mer),reconstructed,Splice Sites (human),GUE,2,0.9112231477422184,0.9058633773583749,0.8490155632090555,0.9033104901779216,0.9085983759817984,0.2520957589149475,13.4383,339.478,21.283,400.0,5.0,3e-05
DNABERT-1 (6-mer),H3,EMP (yeast),GUE,3,0.8643954575818303,0.864231639566547,0.7296398235975103,0.8654820470742517,0.8641589760982489,0.3275686800479889,5.9175,252.977,15.885,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K14ac,EMP (yeast),GUE,3,0.7040847201210287,0.6963644787331418,0.3929414002571782,0.6972504738935943,0.6956940089778489,0.56634122133255,13.7588,240.21,15.045,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K36me3,EMP (yeast),GUE,3,0.7411123853211009,0.7333531773596252,0.471735586360279,0.7406610846945849,0.731169970542898,0.53465336561203,13.8612,251.638,15.727,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me1,EMP (yeast),GUE,3,0.7149621212121212,0.7085192212286804,0.4213300799886333,0.7141620064712814,0.7072251740962199,0.5685238838195801,12.6801,249.84,15.615,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me2,EMP (yeast),GUE,3,0.6705767350928641,0.6364732897247046,0.3010192705749821,0.6654281367375077,0.6369365016201467,0.6088704466819763,12.1509,252.575,15.801,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K4me3,EMP (yeast),GUE,3,0.6448369565217391,0.6443440374851992,0.2893139764333838,0.644419667125185,0.6448946992917904,0.6322315335273743,14.6108,251.869,15.742,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K79me3,EMP (yeast),GUE,3,0.8033980582524272,0.8019923212793945,0.6050838015576053,0.8038810992545091,0.8012086041264136,0.4465897381305694,11.4838,251.136,15.761,500.0,3.0,3e-05
DNABERT-1 (6-mer),H3K9ac,EMP (yeast),GUE,3,0.7578265563152213,0.7560673497110072,0.5127344747936194,0.7555003328964067,0.7572370832766007,0.5050396919250488,143.708,19.338,1.211,500.0,3.0,3e-05
DNABERT-1 (6-mer),H4,EMP (yeast),GUE,3,0.8884325804243669,0.8865945212329012,0.7734983083446991,0.888053310496173,0.8854493808125956,0.2913661301136017,5.822,250.946,15.802,500.0,3.0,3e-05
DNABERT-1 (6-mer),H4ac,EMP (yeast),GUE,3,0.6997067448680352,0.6979235008983122,0.3960607618660305,0.6984078273988781,0.6976536525125867,0.5893120169639587,13.5655,251.373,15.775,500.0,3.0,3e-05
DNABERT-1 (6-mer),prom_300_all,Regulatory (human),GUE,3,0.950337837837838,0.9503371519808472,0.9008828044089834,0.9504764701074312,0.9504063370314568,0.1313328593969345,12.7409,464.645,29.04,300.0,4.0,3e-05
DNABERT-1 (6-mer),prom_300_notata,Regulatory (human),GUE,3,0.9623139250047108,0.9622909481790798,0.9249566150453308,0.9627970390961966,0.9621597954618089,0.1132368072867393,11.3088,469.281,29.358,300.0,4.0,3e-05
DNABERT-1 (6-mer),prom_300_tata,Regulatory (human),GUE,3,0.8140293637846656,0.8140051101884381,0.628443683499868,0.814104747711305,0.8143389794396506,0.4357823431491852,1.3141,466.462,29.677,300.0,10.0,3e-05
