directory_name,model,lr,benchmark,task,seed,accuracy,mcc,f1,precision,recall,runtime,replicate_number,sequence_length,epoch,source_file
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H2AFZ_seed17/results/NTv2-500m-ms_1e-4_H2AFZ_seed17,NTv2,0.0001,NTv2,H2AFZ,17.0,0.749,0.5059269970995321,0.7472869141494829,0.7566382935702847,0.749341322794498,25.3734,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H2AFZ_seed89/results/NTv2-500m-ms_1e-4_H2AFZ_seed89,NTv2,0.0001,NTv2,H2AFZ,89.0,0.7703333333333333,0.5452318229873347,0.7695310709914547,0.774665453949924,0.7705816626399355,24.7463,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H2AFZ_seed42/results/NTv2-500m-ms_1e-4_H2AFZ_seed42,NTv2,0.0001,NTv2,H2AFZ,42.0,0.7623333333333333,0.5277544160858739,0.7617768175097936,0.7652223712384928,0.7625388672885434,25.8723,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/DNABERT1_6_3e-5_H3K27ac_seed42,DNABERT,3e-05,NTv2,H3K27ac,42.0,0.7277227722772277,0.4566234814911676,0.7273715804503829,0.7289022324865281,0.7277227722772277,6.2975,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K27ac_seed73/results/DNABERT1_6_3e-5_H3K27ac_seed73,DNABERT,3e-05,NTv2,H3K27ac,73.0,0.7215346534653465,0.4618374559383732,0.7158789000231298,0.7407003062175477,0.7215346534653465,6.0106,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K27ac_seed77/results/DNABERT1_6_3e-5_H3K27ac_seed77,DNABERT,3e-05,NTv2,H3K27ac,77.0,0.7233910891089109,0.4468400163360195,0.7233731872444508,0.723448930970821,0.7233910891089108,5.8118,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27ac_seed43/results/DNABERT2__3e-5_H3K27ac_seed43,DNABERT2,3e-05,NTv2,H3K27ac,43.0,0.7506188118811881,0.5099837605287677,0.7484805474933909,0.7594412546795991,0.7506188118811881,2.966,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27ac_seed89/results/DNABERT2__3e-5_H3K27ac_seed89,DNABERT2,3e-05,NTv2,H3K27ac,89.0,0.7512376237623762,0.5035190546693932,0.7509797788367771,0.7522825150732128,0.7512376237623762,2.9469,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27ac_seed17/results/DNABERT2__3e-5_H3K27ac_seed17,DNABERT2,3e-05,NTv2,H3K27ac,17.0,0.7388613861386139,0.4903233107278779,0.7355065212703407,0.7516281021073353,0.7388613861386139,2.9773,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27ac_seed42,DNABERT2,3e-05,NTv2,H3K27ac,42.0,0.745049504950495,0.4957830259324978,0.7435880845976925,0.7507664817078905,0.745049504950495,2.8517,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K27ac_seed42,GPT,3e-05,NTv2,H3K27ac,42.0,0.7332920792079208,0.4681012722251803,0.7328598808467681,0.7348116594901015,0.7332920792079207,8.8683,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K27ac_seed26/results/GTP_3e-5_H3K27ac_seed26,GPT,3e-05,NTv2,H3K27ac,26.0,0.7073019801980198,0.417258683367295,0.7063708740288303,0.7099652023090898,0.7073019801980198,9.1346,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K27ac_seed77/results/GTP_3e-5_H3K27ac_seed77,GPT,3e-05,NTv2,H3K27ac,77.0,0.7246287128712872,0.4508099516345777,0.7241545443421415,0.7261839213418161,0.7246287128712872,9.2136,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K27ac_seed89/results/NTv2-500m-ms_1e-4_H3K27ac_seed89,NTv2,0.0001,NTv2,H3K27ac,89.0,0.745049504950495,0.4934496113675671,0.7441839377242931,0.7484115597458496,0.745049504950495,13.3584,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K27ac_seed17/results/NTv2-500m-ms_1e-4_H3K27ac_seed17,NTv2,0.0001,NTv2,H3K27ac,17.0,0.754950495049505,0.5106587047722083,0.7547686930929827,0.7557087727060443,0.754950495049505,13.6605,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K27ac_seed42/results/NTv2-500m-ms_1e-4_H3K27ac_seed42,NTv2,0.0001,NTv2,H3K27ac,42.0,0.7524752475247525,0.5069672674608094,0.7519829089212484,0.75449604743083,0.7524752475247525,13.967,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K27me3_seed77/results/DNABERT1_6_3e-5_H3K27me3_seed77,DNABERT,3e-05,NTv2,H3K27me3,77.0,0.7766666666666666,0.5753072845132855,0.7727872873017712,0.7984009940697312,0.7772933721667716,10.6979,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K27me3_seed73/results/DNABERT1_6_3e-5_H3K27me3_seed73,DNABERT,3e-05,NTv2,H3K27me3,73.0,0.7796666666666666,0.5668826725655848,0.7784202807458621,0.7868904860084074,0.780033654066244,11.1697,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/DNABERT1_6_3e-5_H3K27me3_seed42,DNABERT,3e-05,NTv2,H3K27me3,42.0,0.7666666666666667,0.5617116131112683,0.7612468643754855,0.7950036262105145,0.7673864897502212,11.7021,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27me3_seed42,DNABERT2,3e-05,NTv2,H3K27me3,42.0,0.799,0.6071336033251953,0.7976944322577737,0.807799511628077,0.7993922978767094,5.2944,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27me3_seed43/results/DNABERT2__3e-5_H3K27me3_seed43,DNABERT2,3e-05,NTv2,H3K27me3,43.0,0.803,0.6151001886072667,0.8017416986185322,0.8117679782085643,0.8033892738108519,5.4794,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27me3_seed89/results/DNABERT2__3e-5_H3K27me3_seed89,DNABERT2,3e-05,NTv2,H3K27me3,89.0,0.7973333333333333,0.6125699715452695,0.7946647970356082,0.8149242622517914,0.7978827094456724,5.4924,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K27me3_seed17/results/DNABERT2__3e-5_H3K27me3_seed17,DNABERT2,3e-05,NTv2,H3K27me3,17.0,0.7953333333333333,0.601886605796766,0.7936619954968579,0.8062064049996526,0.795770663450004,5.5667,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K27me3_seed26/results/GTP_3e-5_H3K27me3_seed26,GPT,3e-05,NTv2,H3K27me3,26.0,0.77,0.5516981064394164,0.7678606033201991,0.7813405148002173,0.7704647790107428,16.9292,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K27me3_seed42,GPT,3e-05,NTv2,H3K27me3,42.0,0.773,0.558379568974207,0.7707836048008663,0.7850232259092569,0.773475733471529,16.4378,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K27me3_seed77/results/GTP_3e-5_H3K27me3_seed77,GPT,3e-05,NTv2,H3K27me3,77.0,0.7703333333333333,0.555127303986237,0.7676734263920963,0.7844442909313598,0.7708494540547772,17.0363,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K27me3_seed17/results/NTv2-500m-ms_1e-4_H3K27me3_seed17,NTv2,0.0001,NTv2,H3K27me3,17.0,0.805,0.6226564516134184,0.8032491579792669,0.8173115102266957,0.8054577633024008,25.3698,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K27me3_seed42/results/NTv2-500m-ms_1e-4_H3K27me3_seed42,NTv2,0.0001,NTv2,H3K27me3,42.0,0.7926666666666666,0.6097151478819819,0.7888757190784391,0.8168605558407063,0.7933092765131329,25.9833,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K27me3_seed89/results/NTv2-500m-ms_1e-4_H3K27me3_seed89,NTv2,0.0001,NTv2,H3K27me3,89.0,0.8046666666666666,0.6259966843140785,0.8023325212250796,0.8210050810827488,0.8051913130552621,24.8933,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K36me3_seed73/results/DNABERT1_6_3e-5_H3K36me3_seed73,DNABERT,3e-05,NTv2,H3K36me3,73.0,0.777,0.5701688119730272,0.7735365944891197,0.7939164530949203,0.7765177576174552,11.1363,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/DNABERT1_6_3e-5_H3K36me3_seed42,DNABERT,3e-05,NTv2,H3K36me3,42.0,0.7806666666666666,0.5782178589147725,0.7771662958039532,0.7983247361696086,0.7801778161783921,11.7026,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K36me3_seed77/results/DNABERT1_6_3e-5_H3K36me3_seed77,DNABERT,3e-05,NTv2,H3K36me3,77.0,0.7763333333333333,0.5684153762555322,0.7729352078003806,0.7928117889548371,0.7758564137026192,10.6942,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K36me3_seed89/results/DNABERT2__3e-5_H3K36me3_seed89,DNABERT2,3e-05,NTv2,H3K36me3,89.0,0.8113333333333334,0.6288857644286928,0.8102565179903192,0.8178779069767442,0.8110449767196275,5.5243,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K36me3_seed42,DNABERT2,3e-05,NTv2,H3K36me3,42.0,0.81,0.6224960583911548,0.8095238095238095,0.8126897487242426,0.8098129570073122,5.3306,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K36me3_seed17/results/DNABERT2__3e-5_H3K36me3_seed17,DNABERT2,3e-05,NTv2,H3K36me3,17.0,0.8086666666666666,0.6243582506966844,0.807434245840043,0.8160459611778919,0.8083596004202733,5.5595,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K36me3_seed43/results/DNABERT2__3e-5_H3K36me3_seed43,DNABERT2,3e-05,NTv2,H3K36me3,43.0,0.814,0.6332345134243655,0.8131015584248548,0.8195252933646449,0.8137356864376497,5.5259,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K36me3_seed42,GPT,3e-05,NTv2,H3K36me3,42.0,0.7606666666666667,0.5353479392096161,0.7572092180243186,0.7753610373191051,0.7602014965572783,16.6474,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K36me3_seed26/results/GTP_3e-5_H3K36me3_seed26,GPT,3e-05,NTv2,H3K36me3,26.0,0.7616666666666667,0.5398429199194835,0.7576757204063591,0.7789709636391517,0.761165511981525,16.9415,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K36me3_seed77/results/GTP_3e-5_H3K36me3_seed77,GPT,3e-05,NTv2,H3K36me3,77.0,0.7626666666666667,0.5427753275528505,0.7585011878214049,0.7809470643823924,0.762153527789778,17.0672,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K36me3_seed89/results/NTv2-500m-ms_1e-4_H3K36me3_seed89,NTv2,0.0001,NTv2,H3K36me3,89.0,0.8263333333333334,0.6590258741919675,0.8253684162189056,0.8330134535621276,0.8260492167874686,25.0468,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K36me3_seed17/results/NTv2-500m-ms_1e-4_H3K36me3_seed17,NTv2,0.0001,NTv2,H3K36me3,17.0,0.831,0.6659882011232618,0.8303961915972184,0.8352284679183684,0.830774625727345,25.3577,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K36me3_seed42/results/NTv2-500m-ms_1e-4_H3K36me3_seed42,NTv2,0.0001,NTv2,H3K36me3,42.0,0.828,0.6602966191164793,0.8273362806628681,0.8325487012987013,0.8277652442439078,26.4312,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K4me1_seed77/results/DNABERT1_6_3e-5_H3K4me1_seed77,DNABERT,3e-05,NTv2,H3K4me1,77.0,0.729,0.4751868389024922,0.7237129401236437,0.7469979345789903,0.7285469838553762,10.6997,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K4me1_seed73/results/DNABERT1_6_3e-5_H3K4me1_seed73,DNABERT,3e-05,NTv2,H3K4me1,73.0,0.7276666666666667,0.4646787284208261,0.7246307203586204,0.7374645990993083,0.7273247480527562,11.1639,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/DNABERT1_6_3e-5_H3K4me1_seed42,DNABERT,3e-05,NTv2,H3K4me1,42.0,0.724,0.4604398182914976,0.719921938952003,0.7370296402771948,0.7236058178424205,11.7367,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K4me1_seed43/results/DNABERT2__3e-5_H3K4me1_seed43,DNABERT2,3e-05,NTv2,H3K4me1,43.0,0.7546666666666667,0.5144593977857633,0.7532664262206272,0.760066401382181,0.7544239380437561,5.7681,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K4me1_seed42,DNABERT2,3e-05,NTv2,H3K4me1,42.0,0.744,0.4969238853614832,0.741448847045896,0.7533406864862942,0.7436771519683552,5.2727,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K4me1_seed17/results/DNABERT2__3e-5_H3K4me1_seed17,DNABERT2,3e-05,NTv2,H3K4me1,17.0,0.749,0.5049547969889318,0.7470560130406678,0.7562955818260759,0.7487160968455205,5.6155,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K4me1_seed89/results/DNABERT2__3e-5_H3K4me1_seed89,DNABERT2,3e-05,NTv2,H3K4me1,89.0,0.7476666666666667,0.5079550417725703,0.7442449770490555,0.7608465117325727,0.7472894143268258,5.4753,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K4me1_seed26/results/GTP_3e-5_H3K4me1_seed26,GPT,3e-05,NTv2,H3K4me1,26.0,0.712,0.4290405814421636,0.7100503787466927,0.7173426572788502,0.7117345748286092,16.9397,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K4me1_seed42,GPT,3e-05,NTv2,H3K4me1,42.0,0.7103333333333334,0.4326527838928056,0.7059324822332798,0.7229140199230186,0.7099334437049301,16.4403,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H3K4me1_seed77/results/GTP_3e-5_H3K4me1_seed77,GPT,3e-05,NTv2,H3K4me1,77.0,0.7113333333333334,0.4314715150712011,0.7080530170327128,0.7205904561783729,0.7109878998655541,17.0651,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K4me1_seed42/results/NTv2-500m-ms_1e-4_H3K4me1_seed42,NTv2,0.0001,NTv2,H3K4me1,42.0,0.7526666666666667,0.510415241264797,0.7512550112169911,0.7580220238519798,0.7524239158212869,25.8742,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K4me1_seed17/results/NTv2-500m-ms_1e-4_H3K4me1_seed17,NTv2,0.0001,NTv2,H3K4me1,17.0,0.757,0.5211969434061381,0.7551179727843915,0.7645394689837486,0.756716185735397,25.4406,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/NTv2/NTv2/nt_NTv2-500m-ms_1e-4_H3K4me1_seed89/results/NTv2-500m-ms_1e-4_H3K4me1_seed89,NTv2,0.0001,NTv2,H3K4me1,89.0,0.745,0.5084538449805509,0.7400250912602553,0.764289831404006,0.7445471616351294,24.7486,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K4me2_seed73/results/DNABERT1_6_3e-5_H3K4me2_seed73,DNABERT,3e-05,NTv2,H3K4me2,73.0,0.7591206735266605,0.5243729882075666,0.7577123870194027,0.7652885883432241,0.7591206735266605,7.9613,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/DNABERT1_6_3e-5_H3K4me2_seed42,DNABERT,3e-05,NTv2,H3K4me2,42.0,0.7623947614593077,0.5387766438360135,0.7593110661986313,0.7765682804877712,0.7623947614593077,8.3572,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H3K4me2_seed77/results/DNABERT1_6_3e-5_H3K4me2_seed77,DNABERT,3e-05,NTv2,H3K4me2,77.0,0.7666043030869972,0.5449818946233996,0.764083567234819,0.7785075691092584,0.7666043030869971,7.6501,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H3K4me2_seed89/results/DNABERT2__3e-5_H3K4me2_seed89,DNABERT2,3e-05,NTv2,H3K4me2,89.0,0.7806361085126287,0.5712576083391722,0.7787190526284894,0.7907103230719026,0.7806361085126287,3.9217,,,3.0,combined_results_orig_07.21.2025.csv
