task,task_display,category,n_paired,mean_bpe,mean_char,mean_diff,std_diff,t_statistic,p_value,superior,bonferroni_sig
H4K20me1,H4K20me1,epigenetic marks,10,0.5453127861022949,0.561977994441986,0.01666520833969116,0.00888177932377929,5.93349756997033,0.0002197707670678208,char,True
prom_300_all,prom 300 all,promoters,10,0.8093835949897766,0.8180978178977967,0.00871422290802002,0.006605383766576737,4.1718684941814725,0.002404937096955929,ns,False
prom_300_notata,prom 300 notata,promoters,10,0.9118005394935608,0.9171043992042541,0.005303859710693426,0.005068350309514167,3.3092181975481236,0.009095238931846793,ns,False
prom_300_tata,prom 300 tata,promoters,10,0.3116268694400787,0.33436433374881747,0.022737464308738686,0.05087996222684995,1.4131727360924926,0.19124347658158325,ns,False
prom_core_all,prom core all,promoters,10,0.5965746462345123,0.6172396659851074,0.020665019750595093,0.011241999129355527,5.812892311439936,0.0002553197570149527,char,True
prom_core_notata,prom core notata,promoters,10,0.6514068901538849,0.6542926490306854,0.002885758876800537,0.00778547461896375,1.1721277475506755,0.27123770314825796,ns,False
prom_core_tata,prom core tata,promoters,10,0.41435675621032714,0.539240038394928,0.12488328218460083,0.029887146151848686,13.21356048431005,3.375681548961131e-07,char,True
promoter_all,promoter all,promoters,10,0.6968351781368256,0.7116168737411499,0.014781695604324342,0.01814318679223564,2.5763845306915965,0.029873270620362713,ns,False
promoter_no_tata,promoter no tata,promoters,10,0.7267577290534973,0.7317863047122956,0.005028575658798218,0.011682567220093617,1.3611522338115567,0.20656795329897024,ns,False
promoter_tata,promoter tata,promoters,10,0.6272381365299224,0.6823933720588684,0.055155235528945926,0.04554533545123669,3.8295067415026596,0.004030767281933687,ns,False
human_ensembl_regulatory,human ensembl regulatory,regulatory,10,0.8386357307434082,0.6247990369796753,-0.2138366937637329,0.11647667359949371,-5.805548688130281,0.00025767749361880126,bpe,True
human_nontata_promoters,human nontata promoters,regulatory,10,0.8955093801021576,0.909235155582428,0.013725775480270352,0.009984670091743869,4.347135435715233,0.0018580059366868735,ns,False
human_ocr_ensembl,human ocr ensembl,regulatory,10,0.5463057219982147,0.6313543558120728,0.08504863381385804,0.004665151019689797,57.650308339919,7.158984859065698e-13,char,True
reconstructed,reconstructed,splice sites,10,0.6131067991256713,0.6641183137893677,0.051011514663696286,0.026733611002155246,6.034073482230049,0.00019422656204846076,char,True
splice_sites_acceptors,splice sites acceptors,splice sites,10,0.5988975763320923,0.9044839262962341,0.30558634996414186,0.027609908473727608,35.00007573960406,6.269661201781443e-11,char,True
splice_sites_all,splice sites all,splice sites,10,0.7019913733005524,0.9288845121860504,0.22689313888549809,0.018727265800946337,38.31307313995804,2.791821177199246e-11,char,True
splice_sites_donors,splice sites donors,splice sites,10,0.5964468717575073,0.9069495975971222,0.31050272583961486,0.07179321302304448,13.676722241541526,2.5090786006650043e-07,char,True
demo_human_or_worm,human or worm,taxonomic,10,0.9230412781238556,0.9311377704143524,0.008096492290496814,0.006653315333691358,3.848210314985697,0.003917019982091869,ns,False
mouse_0,mouse tfp 0,transcription factors,10,0.5025468051433564,0.4650623112916946,-0.03748449385166167,0.011561524296829724,-10.25265998379923,2.9060575884118345e-06,bpe,True
mouse_1,mouse tfp 1,transcription factors,10,0.8010482490062714,0.7949926555156708,-0.006055593490600586,0.005433024020035812,-3.5246426196107756,0.00646811336329692,ns,False
mouse_2,mouse tfp 2,transcription factors,10,0.7719226717948914,0.6877763390541076,-0.08414633274078369,0.024725741839201273,-10.761823444641738,1.9358301932357597e-06,bpe,True
mouse_3,mouse tfp 3,transcription factors,10,0.5839307188987732,0.5012147009372712,-0.0827160179615021,0.04473442784115258,-5.847197077529563,0.0002446119173148146,bpe,True
mouse_4,mouse tfp 4,transcription factors,10,0.4166134834289551,0.42293569445610046,0.006322211027145403,0.022228179634920773,0.899425280089219,0.3918552775570454,ns,False
tf_0,human tfp 0,transcription factors,10,0.6462613105773926,0.6707376182079315,0.02447630763053894,0.016241472145794366,4.7656320885606815,0.0010215878492560386,char,True
tf_1,human tfp 1,transcription factors,10,0.6833782911300659,0.6911670684814453,0.0077887773513793945,0.019690678696422565,1.250859708698988,0.2425247653850068,ns,False
tf_2,human tfp 2,transcription factors,10,0.5709670603275299,0.6133378326892853,0.04237077236175537,0.026709939552955853,5.016415204460132,0.0007226096784981986,char,True
tf_3,human tfp 3,transcription factors,10,0.4749214619398117,0.4847291558980942,0.009807693958282482,0.028179263070542252,1.1006196799541879,0.2996268990901529,ns,False
tf_4,human tfp 4,transcription factors,10,0.6970406293869018,0.705695915222168,0.008655285835266114,0.020087823049408482,1.362537740994279,0.2061465977857383,ns,False
covid,virus covid,virus variant detection,10,0.6490121722221375,0.5764164566993714,-0.07259571552276611,0.03202770406656812,-7.16778851660537,5.263695263364699e-05,bpe,True
